Platform,URL,active_site,meets_social_media_def,primary_country_us,default_lang_not_english,private_messages,notes
Snapchat,snapchat.com,,Yes,,,Yes,
Imo,app only,,Yes,,,Yes,
WhatsApp,whatsapp.com,,Yes,,,Yes,
WeChat,wechat.com,,Yes,,,Yes,
Facebook Messenger,messenger.com,,Yes,,,Yes,
Telegram,telegram.org,,Yes,,,Yes,
Microsoft Teams,teams.com,,Yes,,,Yes,
Skype,skype.com,,Yes,,,Yes,
Rakuten Viber,viber.com,,Yes,,,Yes,
Line,line.me,,Yes,,,Yes,
Signal,signal.org,,Yes,,,Yes,
HealthBoards,healthboards.com,,Yes,,,,inaccessible at Stanford but website still appears functional
Douyin,douyin.com,,Yes,,Yes,,
Sina Weibo,weibo.com,,Yes,,Yes,,
QQ,im.qq.com,,Yes,,Yes,,
Qzone,qzone.qq.com,,Yes,,Yes,,
Baidu Tieba,tieba.baidu.com,,Yes,,Yes,,
Doctissimo,doctissimo.fr,,Yes,,Yes,,
Atoute.org,atoute.org,,Yes,,Yes,,
Vivelesronde,vivelesronde.com,,Yes,,Yes,,
Facebook,facebook.com,,Yes,,,,
YouTube,youtube.com,,Yes,,,,
Instagram,instagram.com,,Yes,,,,
TikTok,tiktok.com,,Yes,,,,
Twitter,twitter.com,,Yes,Yes,,,
Pinterest,pinterest.com,,Yes,,,,
LinkedIn,linkedin.com,,Yes,,,,
Reddit,reddit.com,,Yes,,,,
Quora,quora.com,,Yes,,,,
Likee,likee.video,,Yes,,,,
Twitch,twitch.tv,,Yes,,,,
Stack Exchange,stackexchange.com,,Yes,Yes,,,
DailyStrength,dailystrength.org,,Yes,,,,
MedHelp,medhelp.org,,Yes,,,,
PatientsLikeMe,patientslikeme.com,,Yes,,,,
drugs-forum.com,drugs-forum.com,,Yes,,,,
LiveJournal,livejournal.com,,Yes,,,,
Tumblr,tumblr.com,,Yes,,,,
SteadyHealth,steadyhealth.com,,Yes,,,,
Myspace,myspace.com,,Yes,,,,
Bluelight,bluelight.org,,Yes,,,,
Yelp,yelp.com,,Yes,,,,
TripAdvisor,tripadvisor.com,,Yes,,,,
Goodreads,goodreads.com,,Yes,,,,
Clubhouse,clubhouse.com,,Yes,,,,
Nextdoor,nextdoor.com,,Yes,,,,
YikYak,yikyak.com,,Yes,,,,
Discord,discord.com,,Yes,,,,
SMART Self-Management And Recovery Training,smartrecovery.org,,Yes,,,,
Kuaishou,kuaishou.com,,Yes,No,,,
VK,vk.com,,Yes,No,,,Banned in the united states
Vevo,vevo.com,,No,,,,
Picsart,picsart.com,,No,,,,
American Diabetes Association,diabetes.org,,No,,,,
AskAPatient,askapatient.com,,No,,,,
Drugs.com,drugs.com,,No,,,,
Flickr,flickr.com,,No,,,,
Google groups,groups.google.com,,No,,,,
Erowid,erowid.org,,No,No,,,
Google reviews,business.google.com/reviews,,No,,,,Reviews are a feature within google maps
Wikipedia,wikipedia.org,,No,,,,
Meetup,meetup.com,,No,,,,
Craigslist,craigslist.org,,No,,,,
Facebook marketplace,facebook.com/marketplace,,No,,,,
Etsy,etsy.com,,No,,,,
Ebay,ebay.com,,No,,,,
DrugRatingZ,drugratingz.com,No,,,,,
MediGuard,mediguard.org,No,,,,,
exchanges.webmd.com,exchanges.webmd.com,No,,,,,
Google+,plus.google.com,No,,,,,
ForumClinic,forumclinic.org,No,,,,,
Medications.com,medications.com,No,,,,,
